Nom,Age,Sexe,Note_Math,Note_Physique,Note_Info
Etudiant1,24,M,12.81,18.16,14.56
Etudiant2,18,F,17.72,12.62,11.71
Etudiant3,23,F,19.06,10.2,19.6
Etudiant4,23,M,17.86,16.56,11.78
Etudiant5,19,M,14.65,18.12,17.45
Etudiant6,25,F,11.34,13.46,18.41
Etudiant7,24,F,9.47,14.2,9.3
Etudiant8,19,M,10.59,19.62,17.23
Etudiant9,18,F,18.27,11.37,17.76
Etudiant10,21,M,18.05,13.72,8.94
Etudiant11,21,F,11.36,11.56,12.47
Etudiant12,18,M,14.52,18.72,15.26
Etudiant13,20,M,16.75,17.81,8.26
Etudiant14,25,M,10.07,10.82,14.5
Etudiant15,20,F,8.59,10.21,11.98
Etudiant16,21,M,11.43,15.13,12.76
Etudiant17,24,M,18.26,8.66,16.67
Etudiant18,22,F,9.5,8.94,19.85
Etudiant19,25,F,13.93,15.01,12.98
Etudiant20,18,M,17.74,9.69,10.18
